Camera.ID,Date,Species,Number,Week,Survey
Grandview2_CL_1_Cam_4,11/30/2022,White-tailed Deer,1,49,5
Grandview2_CL_1_Cam_7,11/30/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_7,11/30/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_7,11/30/2022,Opossum,1,49,5
Grandview2_CL_1_Cam_7,11/30/2022,White-tailed Deer,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,11/30/2022,Rat,1,49,5
Grandview2_CL_1_Cam_9,11/30/2022,Armadillo,1,49,5
Grandview2_CL_1_Cam_9,11/30/2022,Opossum,1,49,5
Grandview2_CL_1_Cam_9,11/30/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_9,11/30/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_9,11/30/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_9,11/30/2022,Bird,1,49,5
Stone2_CL_1_Cam_2,11/30/2022,Gray Squirrel,1,49,5
Stone2_CL_1_Cam_6,11/30/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,11/30/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,11/30/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,11/30/2022,White-tailed Deer,1,49,5
15A,12/1/2022,Gray Squirrel,1,49,5
15A,12/1/2022,Gray Squirrel,1,49,5
15A,12/1/2022,White-tailed Deer,1,49,5
15A,12/1/2022,White-tailed Deer,1,49,5
209A,12/1/2022,Grey Fox,1,49,5
214A,12/1/2022,White-tailed Deer,1,49,5
222A,12/1/2022,White-tailed Deer,1,49,5
222A,12/1/2022,Coyote,1,49,5
227A,12/1/2022,White-tailed Deer,1,49,5
27A,12/1/2022,Gray Squirrel,1,49,5
39A,12/1/2022,Gray Squirrel,1,49,5
39A,12/1/2022,Gray Squirrel,1,49,5
39A,12/1/2022,Gray Squirrel,1,49,5
39A,12/1/2022,Gray Squirrel,1,49,5
39A,12/1/2022,Gray Squirrel,1,49,5
71A,12/1/2022,White-tailed Deer,1,49,5
85A,12/1/2022,Raccoon,1,49,5
85A,12/1/2022,Gray Squirrel,1,49,5
85A,12/1/2022,Gray Squirrel,1,49,5
85A,12/1/2022,Cottontail,1,49,5
85A,12/1/2022,Armadillo,1,49,5
88A,12/1/2022,White-tailed Deer,1,49,5
88A,12/1/2022,Gray Squirrel,1,49,5
88A,12/1/2022,Gray Squirrel,1,49,5
92A,12/1/2022,Raccoon,1,49,5
34D,12/1/2022,Gray Squirrel,1,49,5
36B,12/1/2022,Gray Squirrel,1,49,5
49B,12/1/2022,White-tailed Deer,1,49,5
49B,12/1/2022,White-tailed Deer,1,49,5
82B,12/1/2022,White-tailed Deer,1,49,5
82B,12/1/2022,White-tailed Deer,1,49,5
82B,12/1/2022,Gray Squirrel,1,49,5
82B,12/1/2022,Gray Squirrel,1,49,5
Grandview2_CL_1_Cam_12,12/1/2022,Opossum,1,49,5
Grandview2_CL_1_Cam_14,12/1/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_14,12/1/2022,Coyote,1,49,5
Grandview2_CL_1_Cam_15,12/1/2022,Bird,1,49,5
Grandview2_CL_1_Cam_15,12/1/2022,Bird,1,49,5
Grandview2_CL_1_Cam_4,12/1/2022,Bird,1,49,5
Grandview2_CL_1_Cam_7,12/1/2022,Bird,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Cottontail,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Bird,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Armadillo,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/1/2022,Mouse,1,49,5
Grandview2_CL_1_Cam_9,12/1/2022,Bird,1,49,5
Grandview2_CL_1_Cam_9,12/1/2022,Bird,1,49,5
Palmetto_CL_1_Cam_6,12/1/2022,White-tailed Deer,1,49,5
Saratoga2_CL_1_Cam_1,12/1/2022,Raccoon,1,49,5
Saratoga2_CL_1_Cam_5,12/1/2022,Gray Squirrel,1,49,5
Stone2_CL_1_Cam_2,12/1/2022,Gray Squirrel,1,49,5
Stone2_CL_1_Cam_2,12/1/2022,Gray Squirrel,1,49,5
Stone2_CL_1_Cam_2,12/1/2022,Gray Squirrel,1,49,5
Stone2_CL_1_Cam_3,12/1/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/1/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/1/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/1/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/1/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/1/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/1/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/1/2022,White-tailed Deer,1,49,5
15A,12/2/2022,Coyote,1,49,5
15A,12/2/2022,White-tailed Deer,1,49,5
15A,12/2/2022,White-tailed Deer,1,49,5
15A,12/2/2022,Gray Squirrel,1,49,5
15A,12/2/2022,White-tailed Deer,1,49,5
15A,12/2/2022,White-tailed Deer,1,49,5
15A,12/2/2022,White-tailed Deer,1,49,5
15A,12/2/2022,White-tailed Deer,1,49,5
205A,12/2/2022,White-tailed Deer,1,49,5
205A,12/2/2022,White-tailed Deer,1,49,5
27A,12/2/2022,Grey Fox,1,49,5
71A,12/2/2022,White-tailed Deer,1,49,5
85A,12/2/2022,Raccoon,1,49,5
88A,12/2/2022,White-tailed Deer,1,49,5
8A,12/2/2022,Armadillo,1,49,5
92A,12/2/2022,Grey Fox,1,49,5
30B,12/2/2022,Grey Fox,1,49,5
30B,12/2/2022,Gray Squirrel,1,49,5
34D,12/2/2022,Gray Squirrel,1,49,5
49B,12/2/2022,Gray Squirrel,1,49,5
49B,12/2/2022,Gray Squirrel,1,49,5
49B,12/2/2022,Raccoon,1,49,5
73B,12/2/2022,White-tailed Deer,1,49,5
82B,12/2/2022,Gray Squirrel,1,49,5
Grandview2_CL_1_Cam_10,12/2/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_10,12/2/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_10,12/2/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_10,12/2/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_12,12/2/2022,White-tailed Deer,1,49,5
Grandview2_CL_1_Cam_13,12/2/2022,White-tailed Deer,1,49,5
Grandview2_CL_1_Cam_14,12/2/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_14,12/2/2022,White-tailed Deer,1,49,5
Grandview2_CL_1_Cam_15,12/2/2022,Mouse,1,49,5
Grandview2_CL_1_Cam_15,12/2/2022,Mouse,1,49,5
Grandview2_CL_1_Cam_15,12/2/2022,Gray Squirrel,1,49,5
Grandview2_CL_1_Cam_15,12/2/2022,Mouse,1,49,5
Grandview2_CL_1_Cam_1,12/2/2022,Gray Squirrel,1,49,5
Grandview2_CL_1_Cam_1,12/2/2022,Coyote,1,49,5
Grandview2_CL_1_Cam_3,12/2/2022,Cottontail,1,49,5
Grandview2_CL_1_Cam_3,12/2/2022,Opossum,1,49,5
Grandview2_CL_1_Cam_3,12/2/2022,Opossum,1,49,5
Grandview2_CL_1_Cam_7,12/2/2022,Bird,1,49,5
Grandview2_CL_1_Cam_7,12/2/2022,Bird,1,49,5
Grandview2_CL_1_Cam_7,12/2/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Mouse,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Mouse,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Rat,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Bird,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Bird,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Cottontail,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Opossum,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Armadillo,1,49,5
Grandview2_CL_1_Cam_8,12/2/2022,Opossum,1,49,5
Grandview2_CL_1_Cam_9,12/2/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_9,12/2/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_9,12/2/2022,Armadillo,1,49,5
Grandview2_CL_1_Cam_9,12/2/2022,Armadillo,1,49,5
Nacatoch2_CL_1_Cam_2,12/2/2022,Gray Squirrel,1,49,5
Nacatoch2_CL_1_Cam_2,12/2/2022,White-tailed Deer,2,49,5
Nacatoch2_CL_1_Cam_4,12/2/2022,White-tailed Deer,1,49,5
Nacatoch2_CL_1_Cam_5,12/2/2022,White-tailed Deer,1,49,5
Palmetto_CL_1_Cam_3,12/2/2022,Coyote,1,49,5
Palmetto_CL_1_Cam_6,12/2/2022,White-tailed Deer,1,49,5
Palmetto_CL_1_Cam_6,12/2/2022,White-tailed Deer,1,49,5
Research_CL_1_Cam_1,12/2/2022,Raccoon,1,49,5
Research_CL_1_Cam_1,12/2/2022,Gray Fox,1,49,5
Research_CL_1_Cam_2,12/2/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/2/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/2/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/2/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/2/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/2/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/2/2022,Armadillo,1,49,5
Research_CL_1_Cam_5,12/2/2022,Striped Skunk,1,49,5
Research_CL_1_Cam_5,12/2/2022,Cottontail,1,49,5
Research_CL_1_Cam_7,12/2/2022,Cottontail,1,49,5
Research_CL_1_Cam_7,12/2/2022,Cottontail,1,49,5
Research_CL_1_Cam_7,12/2/2022,Cottontail,1,49,5
Research_CL_1_Cam_7,12/2/2022,Cottontail,1,49,5
Research_CL_1_Cam_8,12/2/2022,White-tailed Deer,1,49,5
Research_CL_1_Cam_8,12/2/2022,White-tailed Deer,1,49,5
Sandhills2_CL_1_Cam_2,12/2/2022,White-tailed Deer,1,49,5
Sandhills2_CL_1_Cam_4,12/2/2022,Coyote,1,49,5
Sandhills2_CL_1_Cam_5,12/2/2022,Gray Squirrel,1,49,5
Saratoga2_CL_1_Cam_1,12/2/2022,White-tailed Deer,1,49,5
Saratoga2_CL_1_Cam_1,12/2/2022,White-tailed Deer,1,49,5
Saratoga2_CL_1_Cam_1,12/2/2022,White-tailed Deer,1,49,5
Saratoga2_CL_1_Cam_1,12/2/2022,White-tailed Deer,1,49,5
Saratoga2_CL_1_Cam_5,12/2/2022,Raccoon,1,49,5
Saratoga2_CL_1_Cam_5,12/2/2022,Gray Fox,1,49,5
Saratoga2_CL_1_Cam_6,12/2/2022,Bird,1,49,5
Stone2_CL_1_Cam_1,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_2,12/2/2022,Gray Squirrel,1,49,5
Stone2_CL_1_Cam_4,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_5,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,12/2/2022,Coyote,1,49,5
Stone2_CL_1_Cam_6,12/2/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,12/2/2022,White-tailed Deer,2,49,5
15A,12/3/2022,White-tailed Deer,1,49,5
15A,12/3/2022,White-tailed Deer,1,49,5
15A,12/3/2022,Gray Squirrel,1,49,5
15A,12/3/2022,Gray Squirrel,1,49,5
1A,12/3/2022,Coyote,1,49,5
205A,12/3/2022,White-tailed Deer,1,49,5
205A,12/3/2022,White-tailed Deer,1,49,5
206A,12/3/2022,Gray Squirrel,1,49,5
27A,12/3/2022,White-tailed Deer,1,49,5
27A,12/3/2022,Gray Squirrel,1,49,5
27A,12/3/2022,Gray Squirrel,1,49,5
55A,12/3/2022,Raccoon,1,49,5
64A,12/3/2022,Gray Squirrel,1,49,5
85A,12/3/2022,Gray Squirrel,1,49,5
85A,12/3/2022,Gray Squirrel,1,49,5
85A,12/3/2022,Gray Squirrel,1,49,5
88A,12/3/2022,Gray Squirrel,1,49,5
8A,12/3/2022,Gray Squirrel,1,49,5
8A,12/3/2022,Gray Squirrel,1,49,5
92A,12/3/2022,White-tailed Deer,1,49,5
92A,12/3/2022,Gray Squirrel,1,49,5
21B,12/3/2022,Gray Squirrel,1,49,5
36B,12/3/2022,Gray Squirrel,1,49,5
45B,12/3/2022,Armadillo,1,49,5
49B,12/3/2022,White-tailed Deer,1,49,5
49B,12/3/2022,Gray Squirrel,1,49,5
49B,12/3/2022,Gray Squirrel,1,49,5
82B,12/3/2022,Gray Squirrel,1,49,5
82B,12/3/2022,Gray Squirrel,1,49,5
Grandview2_CL_1_Cam_10,12/3/2022,Bird,2,49,5
Grandview2_CL_1_Cam_12,12/3/2022,Raccoon,1,49,5
Grandview2_CL_1_Cam_13,12/3/2022,Armadillo,1,49,5
Grandview2_CL_1_Cam_14,12/3/2022,Fox Squirrel,1,49,5
Grandview2_CL_1_Cam_3,12/3/2022,Bird,1,49,5
Grandview2_CL_1_Cam_3,12/3/2022,Opossum,1,49,5
Nacatoch2_CL_1_Cam_2,12/3/2022,Gray Squirrel,1,49,5
Nacatoch2_CL_1_Cam_3,12/3/2022,Bobcat,1,49,5
Palmetto_CL_1_Cam_6,12/3/2022,White-tailed Deer,1,49,5
Palmetto_CL_1_Cam_6,12/3/2022,White-tailed Deer,1,49,5
Research_CL_1_Cam_1,12/3/2022,White-tailed Deer,1,49,5
Research_CL_1_Cam_1,12/3/2022,Gray Squirrel,1,49,5
Research_CL_1_Cam_1,12/3/2022,White-tailed Deer,1,49,5
Research_CL_1_Cam_1,12/3/2022,White-tailed Deer,1,49,5
Research_CL_1_Cam_2,12/3/2022,Raccoon,1,49,5
Research_CL_1_Cam_2,12/3/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/3/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/3/2022,Opossum,1,49,5
Research_CL_1_Cam_2,12/3/2022,Raccoon,1,49,5
Research_CL_1_Cam_2,12/3/2022,Opossum,1,49,5
Research_CL_1_Cam_2,12/3/2022,Armadillo,1,49,5
Research_CL_1_Cam_2,12/3/2022,Armadillo,1,49,5
Research_CL_1_Cam_5,12/3/2022,Cottontail,1,49,5
Research_CL_1_Cam_5,12/3/2022,Striped Skunk,1,49,5
Research_CL_1_Cam_5,12/3/2022,Bird,1,49,5
Research_CL_1_Cam_5,12/3/2022,Bird,1,49,5
Research_CL_1_Cam_5,12/3/2022,Cottontail,1,49,5
Research_CL_1_Cam_5,12/3/2022,Striped Skunk,1,49,5
Research_CL_1_Cam_7,12/3/2022,Striped Skunk,1,49,5
Research_CL_1_Cam_7,12/3/2022,Cottontail,2,49,5
Research_CL_1_Cam_7,12/3/2022,Cottontail,2,49,5
Research_CL_1_Cam_7,12/3/2022,Cottontail,2,49,5
Research_CL_1_Cam_7,12/3/2022,Striped Skunk,1,49,5
Sandhills2_CL_1_Cam_2,12/3/2022,White-tailed Deer,1,49,5
Sandhills2_CL_1_Cam_2,12/3/2022,White-tailed Deer,1,49,5
Sandhills2_CL_1_Cam_2,12/3/2022,White-tailed Deer,1,49,5
Saratoga2_CL_1_Cam_1,12/3/2022,Armadillo,1,49,5
Saratoga2_CL_1_Cam_5,12/3/2022,Raccoon,1,49,5
Saratoga2_CL_1_Cam_5,12/3/2022,Gray Squirrel,1,49,5
Saratoga2_CL_1_Cam_6,12/3/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/3/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/3/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_4,12/3/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,12/3/2022,White-tailed Deer,1,49,5
Stone2_CL_1_Cam_6,12/3/2022,White-tailed Deer,1,49,5
15A,12/4/2022,White-tailed Deer,1,50,6
15A,12/4/2022,White-tailed Deer,1,50,6
15A,12/4/2022,White-tailed Deer,1,50,6
194A,12/4/2022,Gray Squirrel,1,50,6
1A,12/4/2022,Gray Squirrel,1,50,6
202A,12/4/2022,Coyote,1,50,6
205A,12/4/2022,White-tailed Deer,1,50,6
20A,12/4/2022,Grey Fox,1,50,6
219A,12/4/2022,Gray Squirrel,1,50,6
64A,12/4/2022,Gray Squirrel,1,50,6
85A,12/4/2022,Gray Squirrel,1,50,6
85A,12/4/2022,Gray Squirrel,1,50,6
88A,12/4/2022,Coyote,1,50,6
88A,12/4/2022,White-tailed Deer,1,50,6
21B,12/4/2022,Gray Squirrel,1,50,6
30B,12/4/2022,Gray Squirrel,1,50,6
34D,12/4/2022,Gray Squirrel,1,50,6
34D,12/4/2022,Gray Squirrel,1,50,6
49B,12/4/2022,White-tailed Deer,1,50,6
49B,12/4/2022,Gray Squirrel,1,50,6
49B,12/4/2022,Gray Squirrel,1,50,6
73B,12/4/2022,Gray Squirrel,1,50,6
82B,12/4/2022,Raccoon,1,50,6
82B,12/4/2022,White-tailed Deer,1,50,6
82B,12/4/2022,White-tailed Deer,1,50,6
82B,12/4/2022,Gray Squirrel,1,50,6
82B,12/4/2022,Gray Squirrel,1,50,6
82B,12/4/2022,Gray Squirrel,1,50,6
82B,12/4/2022,Gray Squirrel,1,50,6
82B,12/4/2022,Gray Squirrel,1,50,6
Grandview2_CL_1_Cam_12,12/4/2022,Bird,1,50,6
Grandview2_CL_1_Cam_14,12/4/2022,White-tailed Deer,2,50,6
Grandview2_CL_1_Cam_14,12/4/2022,White-tailed Deer,1,50,6
Grandview2_CL_1_Cam_15,12/4/2022,Armadillo,1,50,6
Grandview2_CL_1_Cam_2,12/4/2022,Cottontail,1,50,6
Grandview2_CL_1_Cam_3,12/4/2022,Opossum,1,50,6
Grandview2_CL_1_Cam_3,12/4/2022,Opossum,1,50,6
Grandview2_CL_1_Cam_4,12/4/2022,Armadillo,1,50,6
Grandview2_CL_1_Cam_4,12/4/2022,Opossum,1,50,6
Grandview2_CL_1_Cam_4,12/4/2022,White-tailed Deer,1,50,6
Grandview2_CL_1_Cam_7,12/4/2022,White-tailed Deer,1,50,6
Grandview2_CL_1_Cam_7,12/4/2022,Fox Squirrel,1,50,6
Grandview2_CL_1_Cam_7,12/4/2022,Bird,1,50,6
Grandview2_CL_1_Cam_7,12/4/2022,Bird,1,50,6
Grandview2_CL_1_Cam_7,12/4/2022,Other,1,50,6
Grandview2_CL_1_Cam_7,12/4/2022,Raccoon,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Cottontail,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Rat,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Rat,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Rat,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Rat,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Rat,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Rat,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Cottontail,1,50,6
Grandview2_CL_1_Cam_8,12/4/2022,Cottontail,1,50,6
Grandview2_CL_1_Cam_9,12/4/2022,Dog,1,50,6
Grandview2_CL_1_Cam_9,12/4/2022,Bird,1,50,6
Grandview2_CL_1_Cam_9,12/4/2022,Unknown,1,50,6
Nacatoch2_CL_1_Cam_2,12/4/2022,White-tailed Deer,1,50,6
Nacatoch2_CL_1_Cam_3,12/4/2022,Gray Squirrel,1,50,6
Nacatoch2_CL_1_Cam_4,12/4/2022,White-tailed Deer,1,50,6
Nacatoch2_CL_1_Cam_4,12/4/2022,White-tailed Deer,1,50,6
Nacatoch2_CL_1_Cam_5,12/4/2022,Bird,1,50,6
Palmetto_CL_1_Cam_5,12/4/2022,White-tailed Deer,1,50,6
Palmetto_CL_1_Cam_6,12/4/2022,White-tailed Deer,1,50,6
Palmetto_CL_1_Cam_6,12/4/2022,White-tailed Deer,1,50,6
Palmetto_CL_1_Cam_6,12/4/2022,Unknown,1,50,6
Research_CL_1_Cam_1,12/4/2022,Raccoon,1,50,6
Research_CL_1_Cam_1,12/4/2022,White-tailed Deer,1,50,6
Research_CL_1_Cam_1,12/4/2022,Armadillo,1,50,6
Research_CL_1_Cam_1,12/4/2022,Opossum,1,50,6
Research_CL_1_Cam_1,12/4/2022,Cottontail,1,50,6
Research_CL_1_Cam_1,12/4/2022,Cottontail,1,50,6
Research_CL_1_Cam_1,12/4/2022,Cottontail,1,50,6
Research_CL_1_Cam_2,12/4/2022,Raccoon,1,50,6
Research_CL_1_Cam_2,12/4/2022,Armadillo,1,50,6
Research_CL_1_Cam_2,12/4/2022,Armadillo,1,50,6
Research_CL_1_Cam_2,12/4/2022,Armadillo,1,50,6
Research_CL_1_Cam_5,12/4/2022,Bird,1,50,6
Research_CL_1_Cam_5,12/4/2022,Bird,1,50,6
Research_CL_1_Cam_5,12/4/2022,Bird,1,50,6
Research_CL_1_Cam_5,12/4/2022,Bird,1,50,6
Research_CL_1_Cam_5,12/4/2022,Cottontail,1,50,6
Research_CL_1_Cam_7,12/4/2022,Cottontail,1,50,6
Sandhills2_CL_1_Cam_4,12/4/2022,White-tailed Deer,1,50,6
Sandhills2_CL_1_Cam_4,12/4/2022,Opossum,1,50,6
Saratoga2_CL_1_Cam_3,12/4/2022,Coyote,1,50,6
Saratoga2_CL_1_Cam_5,12/4/2022,Gray Squirrel,1,50,6
Stone2_CL_1_Cam_2,12/4/2022,Gray Squirrel,1,50,6
Stone2_CL_1_Cam_2,12/4/2022,Gray Squirrel,1,50,6
Stone2_CL_1_Cam_2,12/4/2022,Gray Squirrel,1,50,6
Stone2_CL_1_Cam_3,12/4/2022,White-tailed Deer,1,50,6
Stone2_CL_1_Cam_4,12/4/2022,Dog,4,50,6
Stone2_CL_1_Cam_5,12/4/2022,White-tailed Deer,1,50,6
Stone2_CL_1_Cam_5,12/4/2022,White-tailed Deer,1,50,6
Stone2_CL_1_Cam_5,12/4/2022,Dog,3,50,6
Stone2_CL_1_Cam_6,12/4/2022,White-tailed Deer,1,50,6
Stone2_CL_1_Cam_6,12/4/2022,White-tailed Deer,1,50,6
15A,12/5/2022,White-tailed Deer,1,50,6
15A,12/5/2022,White-tailed Deer,1,50,6
15A,12/5/2022,Coyote,1,50,6
15A,12/5/2022,White-tailed Deer,1,50,6
15A,12/5/2022,White-tailed Deer,1,50,6
1A,12/5/2022,Unknown,1,50,6
1A,12/5/2022,Coyote,1,50,6
202A,12/5/2022,White-tailed Deer,1,50,6
205A,12/5/2022,White-tailed Deer,1,50,6
205A,12/5/2022,White-tailed Deer,1,50,6
206A,12/5/2022,Gray Squirrel,1,50,6
219A,12/5/2022,Gray Squirrel,1,50,6
39A,12/5/2022,White-tailed Deer,1,50,6
64A,12/5/2022,Grey Fox,1,50,6
64A,12/5/2022,Dog,1,50,6
71A,12/5/2022,White-tailed Deer,1,50,6
71A,12/5/2022,Coyote,1,50,6
85A,12/5/2022,Raccoon,1,50,6
85A,12/5/2022,Gray Squirrel,1,50,6
85A,12/5/2022,Dog,1,50,6
88A,12/5/2022,Wild Hog,1,50,6
88A,12/5/2022,Wild Hog,1,50,6
88A,12/5/2022,Wild Hog,1,50,6
88A,12/5/2022,Wild Hog,1,50,6
30B,12/5/2022,Gray Squirrel,1,50,6
34D,12/5/2022,Gray Squirrel,1,50,6
34D,12/5/2022,Cottontail,1,50,6
45B,12/5/2022,Cottontail,1,50,6
45B,12/5/2022,White-tailed Deer,1,50,6
45B,12/5/2022,Bird,1,50,6
67B,12/5/2022,White-tailed Deer,1,50,6
73B,12/5/2022,White-tailed Deer,1,50,6
74B,12/5/2022,White-tailed Deer,1,50,6
82B,12/5/2022,White-tailed Deer,1,50,6
82B,12/5/2022,White-tailed Deer,1,50,6
82B,12/5/2022,White-tailed Deer,1,50,6
82B,12/5/2022,Gray Squirrel,1,50,6
Grandview2_CL_1_Cam_12,12/5/2022,Opossum,1,50,6
Grandview2_CL_1_Cam_13,12/5/2022,Opossum,1,50,6
Grandview2_CL_1_Cam_13,12/5/2022,Raccoon,2,50,6
Grandview2_CL_1_Cam_13,12/5/2022,Raccoon,1,50,6
Grandview2_CL_1_Cam_13,12/5/2022,White-tailed Deer,1,50,6
Grandview2_CL_1_Cam_1,12/5/2022,Gray Squirrel,1,50,6
Grandview2_CL_1_Cam_1,12/5/2022,Armadillo,1,50,6
Grandview2_CL_1_Cam_3,12/5/2022,Opossum,1,50,6
Grandview2_CL_1_Cam_4,12/5/2022,Fox Squirrel,1,50,6
Grandview2_CL_1_Cam_8,12/5/2022,Cottontail,1,50,6
Grandview2_CL_1_Cam_8,12/5/2022,Rat,1,50,6
Grandview2_CL_1_Cam_8,12/5/2022,Cottontail,1,50,6
Grandview2_CL_1_Cam_8,12/5/2022,Armadillo,1,50,6
Grandview2_CL_1_Cam_8,12/5/2022,Armadillo,1,50,6
Nacatoch2_CL_1_Cam_1,12/5/2022,White-tailed Deer,1,50,6
Nacatoch2_CL_1_Cam_4,12/5/2022,Bird,1,50,6
Palmetto_CL_1_Cam_6,12/5/2022,White-tailed Deer,1,50,6
Palmetto_CL_1_Cam_6,12/5/2022,White-tailed Deer,1,50,6
Palmetto_CL_1_Cam_6,12/5/2022,White-tailed Deer,1,50,6
Palmetto_CL_1_Cam_6,12/5/2022,White-tailed Deer,3,50,6
Research_CL_1_Cam_1,12/5/2022,Opossum,1,50,6
Research_CL_1_Cam_1,12/5/2022,White-tailed Deer,1,50,6
Research_CL_1_Cam_1,12/5/2022,Raccoon,1,50,6
